P,E,eta,uptime,fee,profit_mean,P_loss,mis_naive,mis_std,mis_champ,VPI_vs_naive,val_champ_vs_naive,val_champ_vs_std
90000.0,0.03,32,0.9,0.3,1196402.1489244516,0.0,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.03,32,0.97,0.05,1172496.6092944297,0.0,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.03,32,0.97,0.3,1289455.6493963534,0.0,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.05,18,0.9,0.05,1106027.4519226667,0.0,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.05,18,0.9,0.3,1214546.1489244516,0.0,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.05,18,0.97,0.05,1192051.8092944296,0.0,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.05,18,0.97,0.3,1309010.8493963534,0.0,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.05,25,0.9,0.05,1000187.4519226669,0.0,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.05,25,0.9,0.3,1108706.1489244518,0.0,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.05,25,0.97,0.05,1077979.8092944296,0.0,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.05,25,0.97,0.3,1194938.8493963531,0.0,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.05,32,0.9,0.05,894347.4519226669,0.045871559633027525,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.05,32,0.9,0.3,1002866.1489244519,0.0,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.05,32,0.97,0.05,963907.8092944297,0.045871559633027525,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.05,32,0.97,0.3,1080866.8493963531,0.0,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.07,18,0.9,0.05,997163.4519226669,0.0,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.07,18,0.9,0.3,1105682.1489244518,0.0,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.07,18,0.97,0.05,1074720.6092944297,0.0,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.07,18,0.97,0.3,1191679.6493963534,0.0,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.07,25,0.9,0.05,848987.4519226667,0.06422018348623854,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.07,25,0.9,0.3,957506.1489244517,0.045871559633027525,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.07,25,0.97,0.05,915019.8092944297,0.06422018348623854,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.07,25,0.97,0.3,1031978.849396353,0.045871559633027525,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.07,32,0.9,0.05,700811.4519226667,0.23853211009174313,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.07,32,0.9,0.3,809330.1489244517,0.1834862385321101,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.07,32,0.97,0.05,755319.0092944297,0.23853211009174313,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
